info,Samp_ID,samp_mg,Ntime_min,N_resp,N_wght_mg,N_wght_p,ele_N,NC_resp_r,Ctime_min,C_resp,C_wght_mg,C_wght_p,ele_C,CC_resp_r,,,,,
165-009-165_GREEN_8_22_2023 8_32_19 PM_106,165-009-165_GREEN,3.249,1.836,246.277,0.101,3.12,Nitrogen,0.031,2.978,7961.399,1.256,38.65,Carbon,1,,,,,
165-009-17_GREEN_8_23_2023 3_53_52 PM_068,165-009-17_GREEN,,3.219,,1.836,270.367,0.111,,3.45,Nitrogen,0.035,2.991,7726.731,1.208,,37.53,,,
165-009-17-DRY_7_13_2023 1_53_05 PM_038,165-009-17-DRY,4.715,1.853,256.542,0.1,2.13,Nitrogen,0.023,2.973,10983.314,1.717,36.43,Carbon,1,,,,,
165-009-172_GREEN_8_22_2023 2_37_08 PM_047,165-009-172_GREEN,3.09,1.849,179.216,0.075,2.41,Nitrogen,0.024,3,7404.871,1.164,37.68,Carbon,1,,,,,
165-009-172-DRY_8_11_2023 7_43_29 PM_093,165-009-172-DRY,4.856,1.853,178.542,0.074,1.52,Nitrogen,0.016,2.929,11003.455,1.763,36.3,Carbon,1,,,,,
165-009-173 DEAD_8_25_2023 2_53_18 PM_045,165-009-173 DEAD,4.175,1.862,180.587,0.075,1.79,Nitrogen,0.018,2.969,10089.234,1.603,38.39,Carbon,1,,,,,
165-009-176_GREEN_8_22_2023 12_48_38 PM_029,165-009-176_GREEN,3.114,1.849,262.777,0.108,3.46,Nitrogen,0.034,2.991,7698.229,1.213,38.94,Carbon,1,,,,,
165-009-176-DRY_8_11_2023 4_12_52 PM_058,165-009-176-DRY,4.151,1.867,168.239,0.07,1.67,Nitrogen,0.017,2.969,9641.361,1.532,36.92,Carbon,1,,,,,
165-009-178 DEAD_8_25_2023 1_53_08 PM_035,165-009-178 DEAD,2.554,1.862,109.165,0.047,1.83,Nitrogen,0.018,3.058,5953.351,0.925,36.23,Carbon,1,,,,,
165-009-18_GREEN_8_24_2023 1_42_41 PM_048,165-009-18_GREEN,3.054,1.836,299.885,0.123,4.02,Nitrogen,0.04,2.987,7550.507,1.186,38.83,Carbon,1,,,,,
165-009-185-DRY_7_13_2023 2_53_16 PM_048,165-009-185-DRY,4.634,1.858,185.424,0.073,1.57,Nitrogen,0.016,2.96,11601.66,1.821,39.29,Carbon,1,,,,,
165-009-185-GREEN_8_15_2023 3_16_46 PM_039,165-009-185-GREEN,3.148,1.858,243.538,0.098,3.13,Nitrogen,0.031,3.004,7958.111,1.242,39.45,Carbon,1,,,,,
165-009-186_GREEN_8_22_2023 12_18_33 PM_024,165-009-186_GREEN,3.436,1.844,319.796,0.13,3.8,Nitrogen,0.039,2.978,8182.789,1.292,37.61,Carbon,1,,,,,
165-009-186-DRY_8_11_2023 2_24_33 PM_040,165-009-186-DRY,4.973,1.862,218.483,0.089,1.8,Nitrogen,0.019,2.933,11466.17,1.842,37.04,Carbon,1,,,,,
165-009-188_GREEN_8_22_2023 1_30_56 PM_036,165-009-188_GREEN,3.339,1.844,256.004,0.105,3.15,Nitrogen,0.03,2.969,8402.895,1.329,39.8,Carbon,1,,,,,
165-009-188-DRY_8_11_2023 3_00_40 PM_046,165-009-188-DRY,4.351,1.867,173.201,0.071,1.64,Nitrogen,0.016,2.942,10875.468,1.741,40.01,Carbon,1,,,,,
165-009-189-DRY_8_11_2023 6_49_20 PM_084,165-009-189-DRY,4.134,1.853,175.031,0.072,1.75,Nitrogen,0.017,2.938,10322.913,1.647,39.85,Carbon,1,,,,,
165-009-189-GREEN_8_15_2023 1_22_46 PM_032,165-009-189-GREEN,3.113,1.862,271.274,0.109,3.52,Nitrogen,0.034,3.004,8035.794,1.255,40.3,Carbon,1,,,,,
165-009-19-DRY_7_13_2023 11_58_45 AM_019,165-009-19-DRY,4.832,1.862,245.86,0.096,1.99,Nitrogen,0.022,2.969,11402.127,1.787,36.99,Carbon,1,,,,,
165-009-19-GREEN_8_17_2023 1_32_54 PM_030,165-009-19-GREEN,3.182,1.858,271.047,0.11,3.46,Nitrogen,0.034,3.009,7888.203,1.234,38.79,Carbon,1,,,,,
165-009-195_GREEN_8_22_2023 7_08_03 PM_092,165-009-195_GREEN,3.166,1.849,178.975,0.074,2.35,Nitrogen,0.023,2.982,7886.646,1.244,39.28,Carbon,1,,,,,
165-009-195-DRY_8_11_2023 4_36_56 PM_062,165-009-195-DRY,4.302,1.867,114.022,0.048,1.12,Nitrogen,0.011,2.942,10612.364,1.696,39.43,Carbon,1,,,,,
165-009-198_GREEN_8_22_2023 7_56_13 PM_100,165-009-198_GREEN,3.061,1.836,194.511,0.081,2.63,Nitrogen,0.025,2.978,7769.94,1.224,40,Carbon,1,,,,,
165-009-198-DRY_8_11_2023 4_30_55 PM_061,165-009-198-DRY,4.631,1.858,104.294,0.044,0.96,Nitrogen,0.009,2.92,11205.984,1.797,38.81,Carbon,1,,,,,
165-009-199-DRY_7_13_2023 3_17_20 PM_052,165-009-199-DRY,4.828,1.853,172.202,0.068,1.41,Nitrogen,0.014,2.951,11909.738,1.872,38.78,Carbon,1,,,,,
165-009-20-DRY_7_13_2023 12_46_53 PM_027,165-009-20-DRY,4.967,1.858,264.049,0.103,2.08,Nitrogen,0.023,2.964,11702.818,1.837,36.99,Carbon,1,,,,,
165-009-20-GREEN_8_17_2023 12_56_48 PM_024,165-009-20-GREEN,3.455,1.858,267.963,0.109,3.15,Nitrogen,0.032,2.996,8380.011,1.315,38.06,Carbon,1,,,,,
165-009-200-DRY_8_10_2023 5_57_56 PM_080,165-009-200-DRY,4.702,1.876,215.534,0.087,1.85,Nitrogen,0.018,2.951,11698.361,1.867,39.7,Carbon,1,,,,,
165-009-200-DRY_8_10_2023 5_57_56 PM_080,165-009-200-DRY,4.702,1.876,215.534,0.087,1.85,Nitrogen,0.018,2.951,11698.361,1.867,39.7,Carbon,1,,,,,
165-009-200-GREEN_7_14_2023 10_52_14 AM_021,165-009-200-GREEN,3.394,1.862,339.872,0.129,3.81,Nitrogen,0.037,3.018,9069.137,1.387,40.87,Carbon,1,,,,,
165-009-21-DRY_7_13_2023 12_28_50 PM_024,165-009-21-DRY,4.217,1.853,220.221,0.086,2.05,Nitrogen,0.022,2.991,10008.124,1.556,36.91,Carbon,1,,,,,
165-009-21-GREEN_8_17_2023 12_14_41 PM_017,165-009-21-GREEN,3.437,1.858,304.166,0.123,3.58,Nitrogen,0.037,3,8287.757,1.3,37.82,Carbon,1,,,,,
165-009-22_GREEN_8_23_2023 4_29_59 PM_074,165-009-22_GREEN,,3.256,,1.84,286.051,0.117,,3.6,Nitrogen,0.036,2.982,8033.199,1.258,,38.65,,,
165-009-22-DRY_8_17_2023 4_15_23 PM_057,165-009-22-DRY,4.715,1.858,259.171,0.106,2.24,Nitrogen,0.023,2.938,11255.129,1.794,38.06,Carbon,1,,,,,
165-009-23-DRY_7_13_2023 12_40_52 PM_026,165-009-23-DRY,4.276,1.858,219.161,0.086,2.01,Nitrogen,0.021,2.987,10245.908,1.596,37.31,Carbon,1,,,,,
165-009-23-GREEN_8_17_2023 12_32_44 PM_020,165-009-23-GREEN,3.411,1.862,275.555,0.112,3.28,Nitrogen,0.033,3,8351.141,1.31,38.41,Carbon,1,,,,,
165-009-24-DRY_7_13_2023 11_40_41 AM_016,165-009-24-DRY,4.392,1.858,276.92,0.108,2.46,Nitrogen,0.025,2.978,10894.493,1.703,38.77,Carbon,1,,,,,
165-009-24-GREEN_8_17_2023 1_50_58 PM_033,165-009-24-GREEN,3.214,1.853,314.593,0.127,3.96,Nitrogen,0.039,3.004,8059.082,1.262,39.28,Carbon,1,,,,,
165-009-25_GREEN_8_23_2023 3_04_43 PM_062,165-009-25_GREEN,165-26C-210_GREEN,3.202,3.386,1.836,282.931,0.116,3.43,3.62,Nitrogen,0.034,2.978,8377.322,1.315,38.84,41.07,,,
165-009-25-DRY_7_13_2023 1_59_06 PM_039,165-009-25-DRY,4.262,1.853,241.416,0.094,2.22,Nitrogen,0.024,2.987,10102.217,1.572,36.88,Carbon,1,,,,,
165-009-26_GREEN_8_23_2023 4_11_55 PM_071,165-009-26_GREEN,,3.101,,1.836,255.747,0.105,,3.4,Nitrogen,0.034,2.991,7599.344,1.187,,38.29,,,
165-009-26-DRY_8_9_2023 2_35_52 PM_043,165-009-26-DRY,4.682,1.88,261.982,0.106,2.25,Nitrogen,0.024,2.969,10916.71,1.727,36.89,Carbon,1,,,,,
165-009-27_GREEN_8_23_2023 4_36_00 PM_075,165-009-27_GREEN,,3.255,,1.84,276.445,0.113,,3.49,Nitrogen,0.034,2.982,8053.475,1.262,,38.76,,,
165-009-27-DRY_8_17_2023 4_21_24 PM_058,165-009-27-DRY,4.752,1.853,244.558,0.1,2.1,Nitrogen,0.021,2.933,11426.173,1.823,38.37,Carbon,1,,,,,
165-009-45_GREEN_8_22_2023 3_01_19 PM_051,165-009-45_GREEN,3.154,1.84,301.847,0.123,3.91,Nitrogen,0.039,2.987,7644.979,1.204,38.17,Carbon,1,,,,,
165-009-45-DRY_8_11_2023 12_50_52 PM_025,165-009-45-DRY,4.356,1.862,246.102,0.1,2.3,Nitrogen,0.024,2.96,10058.075,1.602,36.79,Carbon,1,,,,,
165-009-46_GREEN_8_23_2023 4_42_01 PM_076,165-009-46_GREEN,,3.136,,1.836,243.007,0.1,,3.2,Nitrogen,0.031,2.987,7732.438,1.209,,38.55,,,
165-009-46-DRY_8_17_2023 4_27_25 PM_059,165-009-46-DRY,4.285,1.849,254.595,0.104,2.42,Nitrogen,0.024,2.947,10470.915,1.662,38.79,Carbon,1,,,,,
165-009-47_GREEN_8_22_2023 2_31_07 PM_046,165-009-47_GREEN,3.077,1.84,250.402,0.103,3.34,Nitrogen,0.034,2.996,7374.986,1.159,37.68,Carbon,1,,,,,
165-009-49_GREEN_8_22_2023 11_24_23 AM_015,165-009-49_GREEN,3.414,1.849,316.893,0.129,3.79,Nitrogen,0.038,2.982,8305.405,1.313,38.45,Carbon,1,,,,,
165-009-50-GREEN_8_17_2023 5_33_36 PM_070,165-009-50-GREEN,3.256,1.853,319.324,0.129,3.96,Nitrogen,0.04,3,7913.009,1.238,38.04,Carbon,1,,,,,
165-009-51-GREEN_8_17_2023 5_27_35 PM_069,165-009-51-GREEN,3.192,1.849,276.907,0.112,3.52,Nitrogen,0.036,3,7750.869,1.212,37.97,Carbon,1,,,,,
165-009-52-DRY_8_10_2023 5_21_50 PM_074,165-009-52-DRY,4.908,1.871,194.36,0.079,1.61,Nitrogen,0.018,2.951,11019.771,1.751,35.68,Carbon,1,,,,,
165-009-52-DRY_8_10_2023 5_21_50 PM_074,165-009-52-DRY,4.908,1.871,194.36,0.079,1.61,Nitrogen,0.018,2.951,11019.771,1.751,35.68,Carbon,1,,,,,
165-009-53_GREEN_8_23_2023 5_30_10 PM_084,165-009-53_GREEN,,3.479,,1.836,286.078,0.117,,3.37,Nitrogen,0.034,2.969,8496.439,1.335,,38.36,,,
165-009-53-DRY_7_13_2023 3_05_18 PM_050,165-009-53-DRY,4.972,1.858,253.012,0.099,1.99,Nitrogen,0.022,2.964,11661.825,1.831,36.82,Carbon,1,,,,,
165-009-54-GREEN_8_17_2023 3_03_11 PM_045,165-009-54-GREEN,3.485,1.849,323.529,0.131,3.75,Nitrogen,0.039,2.987,8321.116,1.305,37.45,Carbon,1,,,,,
165-009-55_GREEN_8_22_2023 4_07_30 PM_062,165-009-55_GREEN,3.239,1.844,258.784,0.106,3.28,Nitrogen,0.033,2.987,7948.402,1.254,38.71,Carbon,1,,,,,
165-009-56-GREEN_8_17_2023 3_57_20 PM_054,165-009-56-GREEN,3.185,1.844,302.854,0.123,3.85,Nitrogen,0.038,2.987,7984.537,1.25,39.25,Carbon,1,,,,,
165-009-57-DRY_7_13_2023 12_58_55 PM_029,165-009-57-DRY,4.508,1.853,296.035,0.115,2.56,Nitrogen,0.026,2.96,11352.634,1.779,39.46,Carbon,1,,,,,
165-009-57-GREEN_8_17_2023 12_44_46 PM_022,165-009-57-GREEN,3.21,1.862,272.193,0.111,3.45,Nitrogen,0.034,3.004,8004.831,1.253,39.05,Carbon,1,,,,,
165-009-58-DRY_7_13_2023 12_22_49 PM_023,165-009-58-DRY,4.612,1.858,292.75,0.114,2.48,Nitrogen,0.027,2.978,10919.328,1.707,37.01,Carbon,1,,,,,
165-009-58-GREEN_8_17_2023 1_14_51 PM_027,165-009-58-GREEN,3.294,1.858,311.046,0.126,3.82,Nitrogen,0.039,3.004,8008.503,1.254,38.07,Carbon,1,,,,,
165-009-73_GREEN_8_22_2023 4_19_32 PM_064,165-009-73_GREEN,3.117,1.844,260.233,0.107,3.43,Nitrogen,0.032,2.982,8019.702,1.265,40.6,Carbon,1,,,,,
165-009-73-DRY_8_10_2023 6_58_07 PM_090,165-009-73-DRY,4.897,1.871,324.392,0.13,2.66,Nitrogen,0.027,2.947,11881.108,1.898,38.76,Carbon,1,,,,,
165-009-73-DRY_8_10_2023 6_58_07 PM_090,165-009-73-DRY,4.897,1.871,324.392,0.13,2.66,Nitrogen,0.027,2.947,11881.108,1.898,38.76,Carbon,1,,,,,
165-009-74_GREEN_8_23_2023 2_16_35 PM_054,165-009-74_GREEN,165-009-90_GREEN,3.315,3.184,1.836,315.02,0.129,4.05,3.88,Nitrogen,0.039,2.982,8083.2,1.267,39.79,38.21,,,
165-009-75-DRY_8_9_2023 2_05_47 PM_038,165-009-75-DRY,4.435,1.88,269.041,0.108,2.44,Nitrogen,0.025,2.969,10955.827,1.734,39.1,Carbon,1,,,,,
165-009-75-GREEN_8_17_2023 3_51_19 PM_053,165-009-75-GREEN,3.056,1.844,290.562,0.118,3.85,Nitrogen,0.038,3,7585.903,1.185,38.78,Carbon,1,,,,,
165-009-76_GREEN_8_23_2023 1_40_28 PM_048,165-009-76_GREEN,,3.273,,1.84,251.652,0.104,,3.17,Nitrogen,0.033,2.987,7654.258,1.196,,36.55,,,
165-009-78_GREEN_8_22_2023 1_55_01 PM_040,165-009-78_GREEN,3.196,1.844,299.008,0.122,3.82,Nitrogen,0.039,2.987,7730.454,1.218,38.1,Carbon,1,,,,,
165-009-79_GREEN_8_22_2023 3_07_20 PM_052,165-009-79_GREEN,3.104,1.844,252.104,0.104,3.34,Nitrogen,0.034,2.991,7512.35,1.182,38.08,Carbon,1,,,,,
165-009-79-DRY_8_11_2023 2_18_32 PM_039,165-009-79-DRY,4.063,1.867,203.513,0.083,2.05,Nitrogen,0.022,2.978,9361.422,1.485,36.56,Carbon,1,,,,,
165-009-80_GREEN_8_22_2023 3_13_21 PM_053,165-009-80_GREEN,3.363,1.849,266.992,0.109,3.25,Nitrogen,0.033,2.987,8051.925,1.271,37.79,Carbon,1,,,,,
165-009-80-DRY_8_10_2023 7_10_09 PM_092,165-009-80-DRY,4.053,1.876,219.663,0.089,2.19,Nitrogen,0.023,2.991,9387.499,1.477,36.45,Carbon,1,,,,,
165-009-80-DRY_8_10_2023 7_10_09 PM_092,165-009-80-DRY,4.053,1.876,219.663,0.089,2.19,Nitrogen,0.023,2.991,9387.499,1.477,36.45,Carbon,1,,,,,
165-009-81_GREEN_8_22_2023 2_01_02 PM_041,165-009-81_GREEN,3.413,1.844,308.202,0.126,3.69,Nitrogen,0.038,2.982,8178.874,1.292,37.85,Carbon,1,,,,,
165-009-82_GREEN_8_23_2023 1_16_17 PM_044,165-009-82_GREEN,,3.368,,1.844,277.76,0.114,,3.38,Nitrogen,0.034,2.987,8140.795,1.276,,37.89,,,
165-009-83_GREEN_8_22_2023 3_25_23 PM_055,165-009-83_GREEN,3.051,1.844,233.981,0.096,3.16,Nitrogen,0.032,3,7321.707,1.151,37.72,Carbon,1,,,,,
165-009-84_GREEN_8_23_2023 12_58_13 PM_041,165-009-84_GREEN,,3.432,,1.84,307.184,0.126,,3.66,Nitrogen,0.038,2.982,7985.203,1.25,,36.44,,,
165-009-85_GREEN_8_22_2023 2_13_04 PM_043,165-009-85_GREEN,3.28,1.844,300.432,0.123,3.74,Nitrogen,0.038,2.991,7859.12,1.239,37.77,Carbon,1,,,,,
165-009-85-DRY_8_10_2023 7_28_12 PM_095,165-009-85-DRY,4.422,1.876,218.664,0.088,2,Nitrogen,0.021,2.973,10172.897,1.608,36.37,Carbon,1,,,,,
165-009-85-DRY_8_10_2023 7_28_12 PM_095,165-009-85-DRY,4.422,1.876,218.664,0.088,2,Nitrogen,0.021,2.973,10172.897,1.608,36.37,Carbon,1,,,,,
165-009-86_GREEN_8_22_2023 4_01_29 PM_061,165-009-86_GREEN,3.139,1.84,238.82,0.098,3.13,Nitrogen,0.033,2.996,7308.328,1.149,36.59,Carbon,1,,,,,
165-009-87 DEAD_8_24_2023 4_40_42 PM_077,165-009-87 DEAD,4.149,1.849,300.352,0.123,2.96,Nitrogen,0.029,2.951,10292.328,1.642,39.57,Carbon,1,,,,,
165-009-88_GREEN_8_23_2023 1_10_15 PM_043,165-009-88_GREEN,,3.111,,1.84,249.709,0.103,,3.31,Nitrogen,0.033,2.991,7546.766,1.179,,37.89,,,
165-009-88-DRY_8_10_2023 11_38_22 AM_017,165-009-88-DRY,4.738,1.884,254.645,0.103,2.17,Nitrogen,0.023,2.969,11149.959,1.773,37.43,Carbon,1,,,,,
165-009-88-DRY_8_10_2023 11_38_22 AM_017,165-009-88-DRY,4.738,1.884,254.645,0.103,2.17,Nitrogen,0.023,2.969,11149.959,1.773,37.43,Carbon,1,,,,,
165-009-89_GREEN_8_22_2023 1_36_57 PM_037,165-009-89_GREEN,3.284,1.844,262.478,0.108,3.28,Nitrogen,0.034,2.991,7792.427,1.228,37.39,Carbon,1,,,,,
165-009-89-DRY_8_11_2023 12_38_50 PM_023,165-009-89-DRY,4.733,1.858,218.839,0.089,1.89,Nitrogen,0.02,2.933,10821.54,1.732,36.59,Carbon,1,,,,,
165-009-90_GREEN_8_23_2023 2_10_34 PM_053,165-009-90_GREEN,165-009-112_GREEN,3.184,3.384,1.84,270.262,0.111,3.28,3.49,Nitrogen,0.032,2.978,8377.922,1.315,38.86,41.3,,,
165-009-91_GREEN_8_23_2023 1_46_29 PM_049,165-009-91_GREEN,,3.088,,1.84,271.045,0.111,,3.61,Nitrogen,0.037,3,7332.076,1.144,,37.04,,,
165-009-91-DRY_8_10_2023 11_32_21 AM_016,165-009-91-DRY,4.446,1.876,270.82,0.109,2.45,Nitrogen,0.026,2.969,10347.665,1.638,36.84,Carbon,1,,,,,
165-009-91-DRY_8_10_2023 11_32_21 AM_016,165-009-91-DRY,4.446,1.876,270.82,0.109,2.45,Nitrogen,0.026,2.969,10347.665,1.638,36.84,Carbon,1,,,,,
165-009-92_GREEN_8_22_2023 4_31_34 PM_066,165-009-92_GREEN,3.142,1.836,290.103,0.119,3.78,Nitrogen,0.039,2.987,7499.175,1.18,37.55,Carbon,1,,,,,
165-009-93-DRY_8_9_2023 3_42_12 PM_054,165-009-93-DRY,4.334,1.871,270.875,0.109,2.52,Nitrogen,0.027,2.973,10142.425,1.597,36.85,Carbon,1,,,,,
165-009-93-GREEN_8_17_2023 2_45_07 PM_042,165-009-93-GREEN,3.256,1.849,284.677,0.115,3.55,Nitrogen,0.038,3.004,7582.52,1.185,36.38,Carbon,1,,,,,
165-009-94_GREEN_8_23_2023 1_52_30 PM_050,165-009-94_GREEN,,3.236,,1.844,284.404,0.117,,3.6,Nitrogen,0.037,2.991,7784.85,1.218,,37.63,,,
165-009-95_GREEN_8_23_2023 1_04_14 PM_042,165-009-95_GREEN,,3.343,,1.844,277.925,0.114,,3.41,Nitrogen,0.034,2.987,8114.407,1.272,,38.04,,,
165-009-95-DRY_8_10_2023 1_02_37 PM_031,165-009-95-DRY,4.815,1.876,272.336,0.11,2.28,Nitrogen,0.024,2.96,11197.643,1.781,37,Carbon,1,,,,,
165-009-95-DRY_8_10_2023 1_02_37 PM_031,165-009-95-DRY,4.815,1.876,272.336,0.11,2.28,Nitrogen,0.024,2.96,11197.643,1.781,37,Carbon,1,,,,,
165-009-96_GREEN_8_23_2023 2_40_39 PM_058,165-009-96_GREEN,165-26D-217_GREEN,3.252,3.249,1.836,264.976,0.109,3.35,3.35,Nitrogen,0.034,2.991,7730.644,1.209,37.21,37.17,,,
165-009-97-GREEN_8_17_2023 2_33_05 PM_040,165-009-97-GREEN,3.335,1.849,320.638,0.13,3.88,Nitrogen,0.039,2.987,8286.926,1.3,38.97,Carbon,1,,,,,
165-009-99_GREEN_8_22_2023 1_42_58 PM_038,165-009-99_GREEN,3.176,1.844,298.955,0.122,3.85,Nitrogen,0.037,2.982,8047.679,1.27,39.99,Carbon,1,,,,,
165-009B-02_GREEN_8_24_2023 11_04_58 AM_024,165-009B-02_GREEN,3.084,1.84,249.538,0.103,3.33,Nitrogen,0.033,2.991,7574.919,1.19,38.58,Carbon,1,,,,,
165-009B-02-DRY_8_10_2023 11_56_25 AM_020,165-009B-02-DRY,4.655,1.876,200.859,0.081,1.75,Nitrogen,0.018,2.96,10957.601,1.741,37.39,Carbon,1,,,,,
165-009B-02-DRY_8_10_2023 11_56_25 AM_020,165-009B-02-DRY,4.655,1.876,200.859,0.081,1.75,Nitrogen,0.018,2.96,10957.601,1.741,37.39,Carbon,1,,,,,
165-009B-105_GREEN_8_22_2023 3_49_27 PM_059,165-009B-105_GREEN,3.144,1.849,316.822,0.129,4.11,Nitrogen,0.043,3.004,7356.395,1.156,36.78,Carbon,1,,,,,
165-009B-108_GREEN_8_22_2023 1_48_59 PM_039,165-009B-108_GREEN,3.245,1.849,224.024,0.092,2.85,Nitrogen,0.029,2.991,7619.083,1.2,36.97,Carbon,1,,,,,
165-009B-108-GREEN_8_17_2023 2_39_06 PM_041,165-009B-108-GREEN,3.321,1.849,298.455,0.121,3.64,Nitrogen,0.038,2.996,7835.19,1.226,36.91,Carbon,1,,,,,
165-009B-110 DEAD_8_24_2023 5_04_47 PM_081,165-009B-110 DEAD,4.044,1.853,184.545,0.077,1.9,Nitrogen,0.019,2.96,9641.63,1.532,37.89,Carbon,1,,,,,
165-009B-111_GREEN_8_22_2023 4_13_31 PM_063,165-009B-111_GREEN,3.044,1.84,251.154,0.103,3.39,Nitrogen,0.035,3,7119.94,1.118,36.72,Carbon,1,,,,,
165-009B-112_GREEN_8_23_2023 1_22_18 PM_045,165-009B-112_GREEN,,3.297,,1.84,346.698,0.141,,4.29,Nitrogen,0.032,2.933,10736.273,1.709,,51.84,,,
165-009B-113_GREEN_8_23_2023 2_28_37 PM_056,165-009B-113_GREEN,165-009B-64_GREEN,3.216,3.136,1.836,298.72,0.122,3.89,3.8,Nitrogen,0.038,2.987,7759.954,1.214,38.71,37.74,,,
165-009B-114_GREEN_8_22_2023 2_25_06 PM_045,165-009B-114_GREEN,3.116,1.849,265.209,0.109,3.49,Nitrogen,0.034,2.991,7737.808,1.219,39.12,Carbon,1,,,,,
